Tenant ID,School NAme,School Code,District,School Type,Location TYpe
58,PANCHAYAT HIGH SCHOOL BALARAMPUR,SCH179022,GHASIPURA,,
58,KALYANI VIDYAPITHA,SCH371578,GHASIPURA,,
58,DHANEI BIDYAPITHA,SCH424778,GHASIPURA,,
58,B.D. BIDYAPITHA MADANPUR,SCH117245,GHASIPURA,,
58,JAGANNATHA BIDYAMANDIR,SCH882481,GHASIPURA,,
58,L.N. HIGH SCHOOL RAMCHANDRAPUR,SCH568001,GHASIPURA,,
58,NEHRU HIGH SCHOOL,SCH131310,GHASIPURA,,
58,KUSHALESWAR HIGH SCHOOL,SCH668625,GHASIPURA,,
58,D.N. BIDYAPITHA,SCH921737,GHASIPURA,,
58,J.M. HIGH SCHOOL,SCH281140,GHASIPURA,,
58,"GOVT.U.G. HIGH SCHOOL,HALADHARPUR",SCH449422,GHATAGAON,,
58,P.K.HIGH SCHOOL BININDA,SCH260925,GHATAGAON,,
58,N.G.HIGH SCHOOLPIPILIA,SCH751795,GHATAGAON,,
58,"G.B.BIDYA PITHA, TORANIPUKHURI",SCH700761,GHATAGAON,,
58,"GOVT.U.G. HIGH SCHOOL,BALABHADRAPUR",SCH587354,GHATAGAON,,
58,DHENKIKOTE GIRLS HIGH SCHOOL,SCH124662,GHATAGAON,,
58,JANATA VIDYAPITHA,SCH972731,GHATAGAON,,
58,TARINI VIDYAPITHA,SCH888678,GHATAGAON,,
58,"GOVT. GIRLS HIGH SCHOOL(SSD), (SSD) DEHURIPOSI",SCH749529,GHATAGAON,,
58,AMBIKA HIGH SCHOOL PANDAPADA,SCH204705,GHATAGAON,,
58,"N.K H.S ,BARHATIPURA",SCH774007,GHATAGAON,,
58,"S.N.BIDYA PITHA, DHENKIKOTE",SCH246998,GHATAGAON,,
58,"G.P.HIGH SCHOOL, PITHAGOLA",SCH355786,HARICHANDANPUR,,
58,GOVT. GIRLS HIGH SCHOOL(SSD),SCH232835,HARICHANDANPUR,,
58,M.P.HIGH SCHOOLJANGHIRA,SCH913272,HARICHANDANPUR,,
58,BHANRPUR ANCHALIKA HIGH SCHOOL,SCH892544,HARICHANDANPUR,,
58,HARICHANDRAPUR GIRLS HIGH SCHOOL,SCH276714,HARICHANDANPUR,,
58,JANATA HIGH SCHOOL,SCH153612,HARICHANDANPUR,,
58,MANOCHARPUR HIGH SCHOOL,SCH108870,HARICHANDANPUR,,
58,"GOVT. HIGH SCHOOL(SSD), BUXIBARIGAON",SCH841948,HARICHANDANPUR,,
58,GOVT. HIGH SCHOOL(SSD) BHAGAMUNDA,SCH355852,HARICHANDANPUR,,
58,HARICHANDRAPUR HIGH SCHOOL,SCH975744,HARICHANDANPUR,,
58,"GOVT. U.G.HIGH SCHOOL,DHANURJAYAPUR",SCH972818,HATADIHI,,
58,SASHIMANI GIRLS HIGH SCHOOL,SCH421140,HATADIHI,,
58,SRI AUROBINDA UCCHA B.P,SCH991359,HATADIHI,,
58,"B.P. HIGH SCHOOL, BANGORE",SCH142704,HATADIHI,,
58,MUGUPUR GIRLS HIGH SCHOOL,SCH564440,HATADIHI,,
58,"T.M ACADEMY , DANAR",SCH365933,HATADIHI,,
58,SOSO GIRLS HIGH SCHOOL,SCH561700,HATADIHI,,
58,GOPINATH JEW B.M.,SCH186964,HATADIHI,,
58,P.HIGH SCHOOL MAREIGAON,SCH153493,HATADIHI,,
58,"BHANU PRAVA, HIGH SCHOOL JAMBHARA",SCH367331,HATADIHI,,
58,GEDMA HIGH SCHOOL,SCH396044,HATADIHI,,
58,"BALUKESWAR HIGH SCHOOL, SOSO",SCH675573,HATADIHI,,
58,M.C.B.M. NANDIPADAHAT,SCH623249,HATADIHI,,
58,B.C.HIGH SCHOOL BAHARIPUR,SCH526475,HATADIHI,,
58,JAPIDAS V.M.,SCH101745,HATADIHI,,
58,BALIBAREI HIGH SCHOOL,SCH135537,HATADIHI,,
58,"R.B.HIGH SCHOOL, SADANG",SCH599404,HATADIHI,,
58,P.P.HIGH SCHOOL BANIAPANK,SCH134241,HATADIHI,,
